source,species
WFD,Blicca bjoerkna
WFD,Abramis brama
WFD,Acipenser sturio
WFD,Alburnus alburnus
WFD,Barbatula barbatula
WFD,Barbus barbus
WFD,Carassius auratus
WFD,Coregonus albula
WFD,Coregonus autumnalis
WFD,Coregonus lavaretus
WFD,Coregonus oxyrinchus
WFD,Cottus gobio
WFD,Cyprinus carpio
WFD,Esox lucius
WFD,Gobio gobio
WFD,Gymnocephalus cernua
WFD,Lampetra fluviatilis
WFD,Lampetra planeri
WFD,Leuciscus cephalus
WFD,Leuciscus leuciscus
WFD,Perca fluviatilis
WFD,Phoxinus phoxinus
WFD,Rutilus rutilus
WFD,Salvelinus alpinus
WFD,Sander lucioperca
WFD,Scardinius erythrophthalmus
WFD,Thymallus thymallus
WFD,Tinca tinca
WFD,Agonus cataphractus
WFD,Alosa alosa
WFD,Alosa fallax
WFD,Ammodytes marinus
WFD,Ammodytes tobianus
WFD,Anarhichas lupus
WFD,Anguilla anguilla
WFD,Aphia minuta
WFD,Apletodon dentatus
WFD,Apletodon microcephalus
WFD,Argentina sphyraena
WFD,Argyrosomus regius
WFD,Arnoglossus laterna
WFD,Aspitrigla cuculus
WFD,Atherina boyeri
WFD,Atherina presbyter
WFD,Balistes capriscus
WFD,Belone belone
WFD,Blennius ocellaris
WFD,Buenia jeffreysii
WFD,Buglossidium luteum
WFD,Callionymus lyra
WFD,Callionymus maculatus
WFD,Callionymus reticulatus
WFD,Centrolabrus exoletus
WFD,Cepola rubescens
WFD,Chelidonichthys lucernus
WFD,Chelon labrosus
WFD,Chirolophis ascanii
WFD,Ciliata mustela
WFD,Ciliata septentrionalis
WFD,Clupea harengus
WFD,Conger conger
WFD,Coryphoblennius galerita
WFD,Crenilabrus melops
WFD,Crystallogobius linearis
WFD,Ctenolabrus rupestris
WFD,Cyclopterus lumpus
WFD,Dasyatis pastinaca
WFD,Dicentrarchus labrax
WFD,Diplecogaster bimaculata
WFD,Echiichthys vipera
WFD,Enchelyopus cimbrius
WFD,Engraulis encrasicolus
WFD,Entelurus aequoreus
WFD,Eutrigla gurnardus
WFD,Gadiculus argenteus
WFD,Gadus morhua
WFD,Gaidropsarus mediterraneus
WFD,Gaidropsarus vulgaris
WFD,Galeus melastomus
WFD,Gasterosteus aculeatus
WFD,Glyptocephalus cynoglossus
WFD,Gobius cobitis
WFD,Gobius niger
WFD,Gobius paganellus
WFD,Gobiusculus flavescens
WFD,Hippocampus guttulatus
WFD,Hippocampus hippocampus
WFD,Hippoglossoides platessoides
WFD,Hippoglossus hippoglossus
WFD,Hyperoplus immaculatus
WFD,Hyperoplus lanceolatus
WFD,Labrus bergylta
WFD,Labrus mixtus
WFD,Lepadogaster lepadogaster
WFD,Lepidorhombus whiffiagonis
WFD,Lesueurigobius friesii
WFD,Limanda limanda
WFD,Liparis liparis
WFD,Liparis montagui
WFD,Lipophrys pholis
WFD,Liza aurata
WFD,Liza ramada
WFD,Lophius piscatorius
WFD,Lumpenus lampretaeformis
WFD,Maurolicus muelleri
WFD,Melanogrammus aeglefinus
WFD,Merlangius merlangus
WFD,Merluccius merluccius
WFD,Micrenophrys lilljeborgii
WFD,Microchirus variegatus
WFD,Micromesistius poutassou
WFD,Microstomus kitt
WFD,Molva molva
WFD,Mullus surmuletus
WFD,Mustelus asterias
WFD,Mustelus mustelus
WFD,Myoxocephalus scorpius
WFD,Myxine glutinosa
WFD,Nerophis lumbriciformis
WFD,Nerophis ophidion
WFD,Oncorhynchus mykiss
WFD,Osmerus eperlanus
WFD,Pagellus bogaraveo
WFD,Parablennius gattorugine
WFD,Pegusa lascaris
WFD,Petromyzon marinus
WFD,Pholis gunnellus
WFD,Phrynorhombus norvegicus
WFD,Phycis blennoides
WFD,Platichthys flesus
WFD,Pleuronectes platessa
WFD,Pollachius pollachius
WFD,Pollachius virens
WFD,Pomatoschistus lozanoi
WFD,Pomatoschistus microps
WFD,Pomatoschistus minutus
WFD,Pomatoschistus norvegicus
WFD,Pomatoschistus pictus
WFD,Psetta maxima
WFD,Pungitius pungitius
WFD,Raja batis
WFD,Raja brachyura
WFD,Raja clavata
WFD,Raja microocellata
WFD,Raja montagui
WFD,Raja naevus
WFD,Raniceps raninus
